,detector_1,detector_2,dist
1246,1945,1386,3761
1247,1945,1387,3761
1248,1945,1377,11605
1249,1945,1378,11605
1250,1945,1379,11605
1251,1946,1385,3761
1252,1946,1386,3761
1253,1946,1387,3761
1254,1946,1377,11605
1255,1946,1378,11605
1256,1946,1379,11605
1257,1947,1385,3761
1258,1947,1386,3761
1259,1947,1387,3761
1260,1947,1377,11605
1261,1947,1378,11605
1262,1947,1379,11605
1263,1385,1377,12280
1264,1385,1378,12280
1265,1385,1379,12280
1266,1386,1377,12280
1267,1386,1378,12280
1268,1386,1379,12280
1269,1387,1377,12280
1270,1387,1378,12280
1271,1387,1379,12280
