,detector_1,detector_2,dist
253,1354,1857,8545
254,1354,1858,8545
255,1354,1730,5783
256,1354,1731,5783
257,1354,1732,5783
258,1354,1417,3080
259,1354,1418,3080
260,1354,1419,3080
261,1354,1409,5122
262,1354,1410,5122
263,1354,1411,5122
264,1354,1401,9210
265,1354,1402,9210
266,1354,1403,9210
267,1354,1393,9260
268,1354,1394,9260
269,1354,1395,9260
270,1354,1953,8363
271,1354,1954,8363
272,1354,1955,8363
273,1354,1945,12830
274,1354,1946,12830
275,1354,1947,12830
276,1354,1385,14962
277,1354,1386,14962
278,1354,1387,14962
279,1354,1377,22460
280,1354,1378,22460
281,1354,1379,22460
282,1355,1361,2999
283,1355,1362,2999
284,1355,1363,2999
285,1355,1809,5051
286,1355,1810,5051
287,1355,1811,5051
288,1355,1369,5824
289,1355,1370,5824
290,1355,1371,5824
291,1355,1949,8274
292,1355,1950,8274
293,1355,1951,8274
294,1355,1941,12272
295,1355,1942,12272
296,1355,1943,12272
297,1355,1856,8545
298,1355,1857,8545
299,1355,1858,8545
300,1355,1730,5783
301,1355,1731,5783
302,1355,1732,5783
303,1355,1417,3080
304,1355,1418,3080
305,1355,1419,3080
306,1355,1409,5122
307,1355,1410,5122
308,1355,1411,5122
309,1355,1401,9210
310,1355,1402,9210
311,1355,1403,9210
312,1355,1393,9260
313,1355,1394,9260
314,1355,1395,9260
315,1355,1953,8363
316,1355,1954,8363
317,1355,1955,8363
318,1355,1945,12830
319,1355,1946,12830
320,1355,1947,12830
321,1355,1385,14962
322,1355,1386,14962
323,1355,1387,14962
324,1355,1377,22460
325,1355,1378,22460
326,1355,1379,22460
327,1361,1809,2051
328,1361,1810,2051
329,1361,1811,2051
330,1361,1369,2825
331,1361,1370,2825
332,1361,1371,2825
333,1361,1949,5275
334,1361,1950,5275
335,1361,1951,5275
336,1361,1941,9272
337,1361,1942,9272
338,1361,1943,9272
339,1361,1856,5495
340,1361,1857,5495
341,1361,1858,5495
342,1361,1730,2734
343,1361,1731,2734
344,1361,1732,2734
345,1361,1417,31
346,1361,1418,31
347,1361,1419,31
348,1361,1409,2123
349,1361,1410,2123
350,1361,1411,2123
351,1361,1401,6211
352,1361,1402,6211
353,1361,1403,6211
354,1361,1393,6260
355,1361,1394,6260
356,1361,1395,6260
357,1361,1953,5364
358,1361,1954,5364
359,1361,1955,5364
360,1361,1945,9831
361,1361,1946,9831
362,1361,1947,9831
363,1361,1385,11963
364,1361,1386,11963
365,1361,1387,11963
366,1361,1377,19461
367,1361,1378,19461
368,1361,1379,19461
369,1362,1809,2051
370,1362,1810,2051
371,1362,1811,2051
372,1362,1369,2825
373,1362,1370,2825
374,1362,1371,2825
375,1362,1949,5275
376,1362,1950,5275
377,1362,1951,5275
378,1362,1941,9272
379,1362,1942,9272
380,1362,1943,9272
381,1362,1856,5495
382,1362,1857,5495
383,1362,1858,5495
384,1362,1730,2734
385,1362,1731,2734
386,1362,1732,2734
387,1362,1417,31
388,1362,1418,31
389,1362,1419,31
390,1362,1409,2123
391,1362,1410,2123
392,1362,1411,2123
393,1362,1401,6211
394,1362,1402,6211
395,1362,1403,6211
396,1362,1393,6260
397,1362,1394,6260
398,1362,1395,6260
399,1362,1953,5364
400,1362,1954,5364
401,1362,1955,5364
402,1362,1945,9831
403,1362,1946,9831
404,1362,1947,9831
405,1362,1385,11963
406,1362,1386,11963
407,1362,1387,11963
408,1362,1377,19461
409,1362,1378,19461
410,1362,1379,19461
411,1363,1809,2051
412,1363,1810,2051
413,1363,1811,2051
414,1363,1369,2825
415,1363,1370,2825
416,1363,1371,2825
417,1363,1949,5275
418,1363,1950,5275
419,1363,1951,5275
420,1363,1941,9272
421,1363,1942,9272
422,1363,1943,9272
423,1363,1856,5495
424,1363,1857,5495
425,1363,1858,5495
426,1363,1730,2734
427,1363,1731,2734
428,1363,1732,2734
429,1363,1417,31
430,1363,1418,31
431,1363,1419,31
432,1363,1409,2123
433,1363,1410,2123
434,1363,1411,2123
435,1363,1401,6211
436,1363,1402,6211
437,1363,1403,6211
438,1363,1393,6260
439,1363,1394,6260
440,1363,1395,6260
441,1363,1953,5364
442,1363,1954,5364
443,1363,1955,5364
444,1363,1945,9831
445,1363,1946,9831
446,1363,1947,9831
447,1363,1385,11963
448,1363,1386,11963
449,1363,1387,11963
450,1363,1377,19461
451,1363,1378,19461
452,1363,1379,19461
453,1809,1369,774
454,1809,1370,774
455,1809,1371,774
456,1809,1949,3223
457,1809,1950,3223
458,1809,1951,3223
459,1809,1941,7221
460,1809,1942,7221
461,1809,1943,7221
462,1809,1856,9456
463,1809,1857,9456
464,1809,1858,9456
465,1809,1730,6694
466,1809,1731,6694
467,1809,1732,6694
468,1809,1417,4092
469,1809,1418,4092
470,1809,1419,4092
471,1809,1409,25
472,1809,1410,25
473,1809,1411,25
474,1809,1401,4159
475,1809,1402,4159
476,1809,1403,4159
477,1809,1393,4209
478,1809,1394,4209
479,1809,1395,4209
480,1809,1953,3313
481,1809,1954,3313
482,1809,1955,3313
483,1809,1945,7779
484,1809,1946,7779
485,1809,1947,7779
486,1809,1385,9911
487,1809,1386,9911
488,1809,1387,9911
489,1809,1377,17409
490,1809,1378,17409
491,1809,1379,17409
492,1810,1369,774
493,1810,1370,774
494,1810,1371,774
495,1810,1949,3223
496,1810,1950,3223
497,1810,1951,3223
498,1810,1941,7221
499,1810,1942,7221
500,1810,1943,7221
501,1810,1856,9456
502,1810,1857,9456
503,1810,1858,9456
504,1810,1730,6694
505,1810,1731,6694
506,1810,1732,6694
507,1810,1417,4092
508,1810,1418,4092
509,1810,1419,4092
510,1810,1409,25
511,1810,1410,25
512,1810,1411,25
513,1810,1401,4159
514,1810,1402,4159
515,1810,1403,4159
516,1810,1393,4209
517,1810,1394,4209
518,1810,1395,4209
519,1810,1953,3313
520,1810,1954,3313
521,1810,1955,3313
522,1810,1945,7779
523,1810,1946,7779
524,1810,1947,7779
525,1810,1385,9911
526,1810,1386,9911
527,1810,1387,9911
528,1810,1377,17409
529,1810,1378,17409
530,1810,1379,17409
531,1811,1369,774
532,1811,1370,774
533,1811,1371,774
534,1811,1949,3223
535,1811,1950,3223
536,1811,1951,3223
537,1811,1941,7221
538,1811,1942,7221
539,1811,1943,7221
540,1811,1856,9456
541,1811,1857,9456
542,1811,1858,9456
543,1811,1730,6694
544,1811,1731,6694
545,1811,1732,6694
546,1811,1417,4092
547,1811,1418,4092
548,1811,1419,4092
549,1811,1409,25
550,1811,1410,25
551,1811,1411,25
552,1811,1401,4159
553,1811,1402,4159
554,1811,1403,4159
555,1811,1393,4209
556,1811,1394,4209
557,1811,1395,4209
558,1811,1953,3313
559,1811,1954,3313
560,1811,1955,3313
561,1811,1945,7779
562,1811,1946,7779
563,1811,1947,7779
564,1811,1385,9911
565,1811,1386,9911
566,1811,1387,9911
567,1811,1377,17409
568,1811,1378,17409
569,1811,1379,17409
570,1369,1949,2450
571,1369,1950,2450
572,1369,1951,2450
573,1369,1941,6447
574,1369,1942,6447
575,1369,1943,6447
576,1369,1856,11565
577,1369,1857,11565
578,1369,1858,11565
579,1369,1730,8803
580,1369,1731,8803
581,1369,1732,8803
582,1369,1417,6202
583,1369,1418,6202
584,1369,1419,6202
585,1369,1409,4161
586,1369,1410,4161
587,1369,1411,4161
588,1369,1401,3385
589,1369,1402,3385
590,1369,1403,3385
591,1369,1393,3435
592,1369,1394,3435
593,1369,1395,3435
594,1369,1953,2539
595,1369,1954,2539
596,1369,1955,2539
597,1369,1945,7005
598,1369,1946,7005
599,1369,1947,7005
600,1369,1385,9137
601,1369,1386,9137
602,1369,1387,9137
603,1369,1377,16636
604,1369,1378,16636
605,1369,1379,16636
606,1370,1949,2450
607,1370,1950,2450
608,1370,1951,2450
609,1370,1941,6447
610,1370,1942,6447
611,1370,1943,6447
612,1370,1856,11565
613,1370,1857,11565
614,1370,1858,11565
615,1370,1730,8803
616,1370,1731,8803
617,1370,1732,8803
618,1370,1417,6202
619,1370,1418,6202
620,1370,1419,6202
621,1370,1409,4161
622,1370,1410,4161
623,1370,1411,4161
624,1370,1401,3385
625,1370,1402,3385
626,1370,1403,3385
627,1370,1393,3435
628,1370,1394,3435
629,1370,1395,3435
630,1370,1953,2539
631,1370,1954,2539
632,1370,1955,2539
633,1370,1945,7005
634,1370,1946,7005
635,1370,1947,7005
636,1370,1385,9137
637,1370,1386,9137
638,1370,1387,9137
639,1370,1377,16636
640,1370,1378,16636
641,1370,1379,16636
642,1371,1949,2450
643,1371,1950,2450
644,1371,1951,2450
645,1371,1941,6447
646,1371,1942,6447
647,1371,1943,6447
648,1371,1856,11565
649,1371,1857,11565
650,1371,1858,11565
651,1371,1730,8803
652,1371,1731,8803
653,1371,1732,8803
654,1371,1417,6202
655,1371,1418,6202
656,1371,1419,6202
657,1371,1409,4161
658,1371,1410,4161
659,1371,1411,4161
660,1371,1401,3385
661,1371,1402,3385
662,1371,1403,3385
663,1371,1393,3435
664,1371,1394,3435
665,1371,1395,3435
666,1371,1953,2539
667,1371,1954,2539
668,1371,1955,2539
669,1371,1945,7005
670,1371,1946,7005
671,1371,1947,7005
672,1371,1385,9137
673,1371,1386,9137
674,1371,1387,9137
675,1371,1377,16636
676,1371,1378,16636
677,1371,1379,16636
678,1949,1941,3995
679,1949,1942,3995
680,1949,1943,3995
681,1949,1856,19489
682,1949,1857,19489
683,1949,1858,19489
684,1949,1730,16727
685,1949,1731,16727
686,1949,1732,16727
687,1949,1417,14126
688,1949,1418,14126
689,1949,1419,14126
690,1949,1409,12084
691,1949,1410,12084
692,1949,1411,12084
693,1949,1401,11309
694,1949,1402,11309
695,1949,1403,11309
696,1949,1393,9719
697,1949,1394,9719
698,1949,1395,9719
699,1949,1953,8869
700,1949,1954,8869
701,1949,1955,8869
702,1949,1945,4554
703,1949,1946,4554
704,1949,1947,4554
705,1949,1385,6686
706,1949,1386,6686
707,1949,1387,6686
708,1949,1377,14184
709,1949,1378,14184
710,1949,1379,14184
711,1950,1941,3995
712,1950,1942,3995
713,1950,1943,3995
714,1950,1856,19489
715,1950,1857,19489
716,1950,1858,19489
717,1950,1730,16727
718,1950,1731,16727
719,1950,1732,16727
720,1950,1417,14126
721,1950,1418,14126
722,1950,1419,14126
723,1950,1409,12084
724,1950,1410,12084
725,1950,1411,12084
726,1950,1401,11309
727,1950,1402,11309
728,1950,1403,11309
729,1950,1393,9719
730,1950,1394,9719
731,1950,1395,9719
732,1950,1953,8869
733,1950,1954,8869
734,1950,1955,8869
735,1950,1945,4554
736,1950,1946,4554
737,1950,1947,4554
738,1950,1385,6686
739,1950,1386,6686
740,1950,1387,6686
741,1950,1377,14184
742,1950,1378,14184
743,1950,1379,14184
744,1951,1941,3995
745,1951,1942,3995
746,1951,1943,3995
747,1951,1856,19489
748,1951,1857,19489
749,1951,1858,19489
750,1951,1730,16727
751,1951,1731,16727
752,1951,1732,16727
753,1951,1417,14126
754,1951,1418,14126
755,1951,1419,14126
756,1951,1409,12084
757,1951,1410,12084
758,1951,1411,12084
759,1951,1401,11309
760,1951,1402,11309
761,1951,1403,11309
762,1951,1393,9719
763,1951,1394,9719
764,1951,1395,9719
765,1951,1953,8869
766,1951,1954,8869
767,1951,1955,8869
768,1951,1945,4554
769,1951,1946,4554
770,1951,1947,4554
771,1951,1385,6686
772,1951,1386,6686
773,1951,1387,6686
774,1951,1377,14184
775,1951,1378,14184
776,1951,1379,14184
777,1941,1856,19495
778,1941,1857,19495
779,1941,1858,19495
780,1941,1730,16733
781,1941,1731,16733
782,1941,1732,16733
783,1941,1417,14131
784,1941,1418,14131
785,1941,1419,14131
786,1941,1409,12090
787,1941,1410,12090
788,1941,1411,12090
789,1941,1401,11315
790,1941,1402,11315
791,1941,1403,11315
792,1941,1393,9725
793,1941,1394,9725
794,1941,1395,9725
795,1941,1953,8875
796,1941,1954,8875
797,1941,1955,8875
798,1941,1945,4724
799,1941,1946,4724
800,1941,1947,4724
801,1941,1385,2690
802,1941,1386,2690
803,1941,1387,2690
804,1941,1377,10188
805,1941,1378,10188
806,1941,1379,10188
807,1942,1856,19495
808,1942,1857,19495
809,1942,1858,19495
810,1942,1730,16733
811,1942,1731,16733
812,1942,1732,16733
813,1942,1417,14131
814,1942,1418,14131
815,1942,1419,14131
816,1942,1409,12090
817,1942,1410,12090
818,1942,1411,12090
819,1942,1401,11315
820,1942,1402,11315
821,1942,1403,11315
822,1942,1393,9725
823,1942,1394,9725
824,1942,1395,9725
825,1942,1953,8875
826,1942,1954,8875
827,1942,1955,8875
828,1942,1945,4724
829,1942,1946,4724
830,1942,1947,4724
831,1942,1385,2690
832,1942,1386,2690
833,1942,1387,2690
834,1942,1377,10188
835,1942,1378,10188
836,1942,1379,10188
837,1943,1856,19495
838,1943,1857,19495
839,1943,1858,19495
840,1943,1730,16733
841,1943,1731,16733
842,1943,1732,16733
843,1943,1417,14131
844,1943,1418,14131
845,1943,1419,14131
846,1943,1409,12090
847,1943,1410,12090
848,1943,1411,12090
849,1943,1401,11315
850,1943,1402,11315
851,1943,1403,11315
852,1943,1393,9725
853,1943,1394,9725
854,1943,1395,9725
855,1943,1953,8875
856,1943,1954,8875
857,1943,1955,8875
858,1943,1945,4724
859,1943,1946,4724
860,1943,1947,4724
861,1943,1385,2690
862,1943,1386,2690
863,1943,1387,2690
864,1943,1377,10188
865,1943,1378,10188
866,1943,1379,10188
867,1856,1730,2991
868,1856,1731,2991
869,1856,1732,2991
870,1856,1417,5500
871,1856,1418,5500
872,1856,1419,5500
873,1856,1409,7542
874,1856,1410,7542
875,1856,1411,7542
876,1856,1401,11630
877,1856,1402,11630
878,1856,1403,11630
879,1856,1393,11680
880,1856,1394,11680
881,1856,1395,11680
882,1856,1953,10783
883,1856,1954,10783
884,1856,1955,10783
885,1856,1945,15250
886,1856,1946,15250
887,1856,1947,15250
888,1856,1385,17382
